title,rating,description,release_date,genre,casts,duration,country,production,m_link
Two Tickets to Paradise,6.8,"When two weddings are ruined by both the bride and groom getting left at the altar, they still decide to take their honeymoons, not knowing they are heading to the same resort in Hawaii.",2022-06-25,Comedy,"['Ryan Paevey', 'Mary-Margaret Humes', 'Ashley Williams', 'Kimee Balmilero', 'Cody Easterbrook']",84,United States of America,"['Synthetic Cinema International', 'Island Film Group Production']",https://cineb.net/movie/watch-two-tickets-to-paradise-free-83605
The Haunting of the Tower of London,4.2,"The Two Princes, imprisoned and allegedly murdered in the Bloody Tower within the Tower Of London by Richard III. The story tells how they allegedly came back to haunt the Tower and with guards and inmates starting to die in horrible circumstances, it becomes clear the Two Princes are out for revenge. A chilling ghost story based on the famous mystery.",2022-06-27,History,"['Rory Wilton', 'Natalie Martins', 'Jake Watkins', 'Greg Draven', 'Richard Rowden']",89,United Kingdom,['Dark Temple Motion Pictures'],https://cineb.net/movie/watch-the-haunting-of-the-tower-of-london-free-83602
Revealer,4.5,Tensions rise when a stripper and religious protester are trapped together in a peep show booth and must come together to survive the apocalypse in 1980's Chicago.,2022-06-23,Horror,"['Bishop Stevens', 'Caito Aase', 'Sammy DelPurgatorio', 'Phil Bogdan', 'Buzz Leer']",86,United States of America,"['Paper Street Pictures', 'The Line Film Company', 'Shatterglass Films']",https://cineb.net/movie/watch-revealer-free-83599
Prince Philip: A Lifetime of Duty,3.8,"Prince Philip has walked two steps behind Her Royal Highness Queen Elizabeth ever since she became Queen in 1952. For many years before then and many years since he has been the supporting man, husband and father that the Royal Family has needed him to be.",2021-06-01,Documentary,"['Queen Elizabeth II of the United Kingdom', 'Prince Philip', 'Hugo Vickers', 'Prince Edward, Duke of Kent', 'Penny Junor']",51,None,['Entertain ME'],https://cineb.net/movie/watch-prince-philip-a-lifetime-of-duty-free-83596
Poser,6,"Lennon exists timidly on the sidelines of the thriving Columbus indie music scene, yearning for a personal connection that might shepherd her into the cutting-edge art scene. Enter Bobbi Kitten, an enigmatic, striking and talented half of a popular indie pop duo, who takes Lennon under her confident wing—unwittingly entangling herself in a dark obsession.",2021-06-09,Drama,"['Sylvie Mix', 'Rachel Keefe', 'Abdul Seidu', 'Aujolie Baker', 'Angela Jernigan']",87,United States of America,['Loose Films'],https://cineb.net/movie/watch-poser-free-83593
"Look Away, Look Away",4.5,"When the horrific murder of nine Black churchgoers in Charleston, South Carolina in 2015 sparks a national reckoning around the meaning of the Confederate flag, battle lines are drawn in Mississippi to determine the fate of the last state flag to include the most powerful, and divisive, symbol of our fractured history. In Look Away, Look Away, director Patrick O'Connor introduces us to an array of activists, and captures the fierce five-year battle over the Mississippi state flag, revealing how race, heritage and long-simmering grievances over the Civil War shapes our sense of who we are as Americans.",2021-10-01,Documentary,[],89,United States of America,['Scenic Films'],https://cineb.net/movie/watch-look-away-look-away-free-83590
Down with the King,5.7,"Sent to the Berkshires to focus on his next album, disillusioned rap star Money Merc abruptly announces his retirement on Twitter. After Merc's announcement, his manager rushes to the countryside to lure him back into the music industry.",2021-07-07,Drama,"['David Krumholtz', 'Sharon Washington', 'Jamie Neumann', 'Freddie Gibbs', 'Bob Tarasuk']",100,United States of America,['Breaker'],https://cineb.net/movie/watch-down-with-the-king-free-83584
7th & Union,5.8,"Ex-fighter Raymundo forms an unlikely bond with a disgruntled man whose life and relationship with his daughter are unraveling. The men join forces to win a fight that could very well save Raymundo, his wife and their child.",2021-06-02,Drama,"['Omar Chaparro', 'Felipe Esparza', 'Gregg Daniel', 'Lee Coc', 'Edy Ganem']",98,Mexico,"['13 Paces', 'Broken English Productions']",https://cineb.net/movie/watch-7th-union-free-83581
Aspirational Slut,5.5,"We meet Rosemary lying on the floor of her house, sobbing. Heartbroken. The doorbell rings. It's a Pizza Delivery Guy. Rosemary can't stop crying. She wants love, but it never works out. Fortunately for Rosemary, this Pizza Delivery Guy has the answer: forget about love and focus on wild random sex for once in her life. We cut to a fun slut-training montage where Pizza Delivery Guy teaches Rosemary his skanky ways and Rosemary learns to sexually liberate herself. Rosemary thinks she's mastered slut life, but her new skills are put to the test when she meets Ned.",2022-03-12,Comedy,"['Raven Scott', 'Ellie Jameson', 'Jake Nordwind', 'Adrian Gonzalez', 'Josh Margolin']",14,United States of America,"[""Queen's Gambit Films"", 'Sandwich Video']",https://cineb.net/movie/watch-aspirational-slut-free-83578
Ah Girls Go Army Again,5.1,"Sergeant Chow’s actions are misconstrued, but in the face of tough challenges, the girls develop a stronger bond and mature together. Lieutenant Roxanne Tan complicates Joey's relationship with her boyfriend. The girls go through gruelling obstacles in their GBMT journey, which eventually lands them in a dangerous situation and their actions will shock the nation.",2022-06-23,Comedy,"['Apple Chan', 'Belle Chua']",120,Singapore,['J Team Productions'],https://cineb.net/movie/watch-ah-girls-go-army-again-free-83572
Warriors Two,7.2,"In an attempt to save his village from being taken over by brutes, Wah is beaten to a pulp and his mother brutally murdered. Determined to take revenge, Wah learns the art of Wing Chun and enters into a showdown with the nasty villains.",1978-12-28,Drama,"['Casanova Wong', 'Leung Kar-Yan', 'Dean Shek', 'Fung Hak-On', 'Sammo Hung']",95,Hong Kong,['Golden Harvest Company'],https://cineb.net/movie/watch-warriors-two-free-83557
Under the Sun,6.8,"August 1984. During summer vacation Victor stays with his aunt and cousin. The incident at the bridge might not have happened, if it wasn't for his crush on his fifteen-year-old cousin Denise or his fear of the neighbors dog.",2006-01-25,Drama,"['Janina Stopper', 'Astrid M. Fünderich', 'Maximilian Waldmann', 'Uwe Rohde', 'Claudia Schmidt']",60,Germany,"['FilmFernsehFonds Bayern', 'Cine Plus Filmproduktion']",https://cineb.net/movie/watch-under-the-sun-free-83554
The Triplets of Belleville,7.7,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters—an aged song-and-dance team from the days of Fred Astaire—to rescue him.",2003-06-11,Animation,"['Jean-Claude Donda', 'Lina Boudreau', 'Suzy Falk', 'Betty Bonifassi', 'Mari-Lou Gauthier']",80,Belgium,"['Vivi Film', 'Production Champion', 'Rija Films']",https://cineb.net/movie/watch-the-triplets-of-belleville-free-83551
Reach for the SKY,7.3,Can one day shape the rest of your life? A feature documentary on the South-Korean education system.,2015-10-01,Documentary,[],90,Belgium,"['Boda Media Group', 'Visualantics']",https://cineb.net/movie/watch-reach-for-the-sky-free-83548
Plenty,6,David Hare's account of a one-time French freedom fighter who gradually realizes that her post-war life is not meeting her expectations.,1985-09-20,Drama,"['Andy de la Tour', 'Ian Wallace', 'John Serret', 'Meryl Streep', 'Tracey Ullman']",124,United States of America,"['20th Century Fox', 'RKO Pictures LLC', 'Pressman Productions']",https://cineb.net/movie/watch-plenty-free-83545
Island Fishermen,5.8,"Yan, captain of a fishing boat, falls in love with the daughter of his boss, to the great displeasure of Jenny, his jealous mistress.",1959-06-24,Adventure,"['Juliette Mayniel', 'Charles Vanel', 'Jean-Claude Pascal', 'Georges Poujouly', 'Joëlle Bernard']",87,France,['Ibéria Films'],https://cineb.net/movie/watch-island-fishermen-free-83542
Outrage,6.8,A young woman who has just become engaged has her life completely shattered when she is raped while on her way home from work.,1950-09-27,Drama,"['Rita Lupino', 'Mala Powers', 'Tod Andrews', 'Raymond Bond', 'Robert Clarke']",75,United States of America,['The Filmakers'],https://cineb.net/movie/watch-outrage-free-83539
Morituri,7,A German living in India during World War II is blackmailed by the English to impersonate an SS officer on board a cargo ship leaving Japan for Germany carrying a large supply of rubber for tyres. His mission is to disable the scuttling charges so the captain cannot sink the ship if they are stopped by English warships.,1965-08-24,Thriller,"['Janet Margolin', 'William Redfield', 'Wally Cox', 'Yul Brynner', 'Rainer Penkert']",123,United States of America,"['Arcola Pictures', '20th Century Fox', 'Colony Productions']",https://cineb.net/movie/watch-morituri-free-83536
Made in U.S.A,6.2,"Paula Nelson goes to Atlantic City to meet her lover, Richard Politzer, but finds him  dead and decides to investigate his death. In her hotel room, she meets Typhus, whom she ends up knocking out. His corpse is later found in the apartment of David Goodis, a writer. Paula is arrested and interrogated. From then on, she encounters many gangsters.",1967-01-27,Mystery,"['László Szabó', 'Anna Karina', 'Ernest Menzer', 'Jean-Pierre Léaud', 'Marianne Faithfull']",85,France,"['Anouchka Films', 'Rome Paris Films', 'S.E.P.I.C.']",https://cineb.net/movie/watch-made-in-usa-free-83533
Longford,7.5,"A portrait of Lord Longford, a tireless British campaigner whose controversial beliefs often resulted in furious political debate and personal conflict.",2006-10-26,Drama,"['Kate Miles', 'Jim Broadbent', 'Andy Serkis', 'Samantha Morton', 'Robert Pugh']",88,United Kingdom,"['Granada Television', 'HBO Films', 'Channel 4 Television']",https://cineb.net/movie/watch-longford-free-83530
The Man in the Buick,5.5,"Mr Jo, nicknamed ""the man with the Buick"", is the darling of the small town of Honfleur. But he is in fact a trafficker with a bad reputation who would like to forget about his past, now limiting himself to smuggling rubies under the cover of a charitable organization which offers underprivileged children holidays in Switzerland. However, Mr. Jo is in love with a pretty widow and, in order to marry her, he is willing to get involved in a hold-up again. And ""the man with the Buick"", who seemed so honorable, will surprise the inhabitants of Honfleur when Inspector Menard reveals his secret activities.",1968-01-12,Comedy,"['Fernandel', 'Mario David', 'Danielle Darrieux', 'Georges Descrières', 'Jean-Pierre Marielle']",N/A,France,['Gafer'],https://cineb.net/movie/watch-the-man-in-the-buick-free-83527
The Elegant Criminal,6.2,"On 9 January 1836, Pierre Lacenaire goes to the guillotine, a murderer and a thief. He gives Allard, a police inspector, his life story, written while awaiting execution. He also asks Allard to care for Hermine, a lass to whom he has been guardian for more than ten years. In flashbacks, from the prison as Lacenaire writes, from Allard's study as he and Hermine read, and from other readers' memory after the book is published, we see Lacenaire's childhood as he stands up to bullies, including priests, his youthful thieving, his first murder, his brief army career, his seduction of a princess, and his affair with Avril, a young man who dies beside him.",1990-12-19,Drama,"['Jean Poiret', 'Jacques Weber', 'François Périer', 'Daniel Auteuil', 'Geneviève Casile']",125,France,"[""Partner's Productions"", 'Union Générale Cinématographique (UGC)', 'Hachette Première']",https://cineb.net/movie/watch-the-elegant-criminal-free-83524
The Devil's Pass,6.8,"Rahim's older brother Mokhi refuses to take him to Kabul's big bouzkachi game. Rahim decides to go there on his own. Guided by the angel of death, Azrael, Rahim follows a difficult path to Kabul.",1959-10-08,Adventure,['Jean Négroni'],81,France,"['Fono Roma', 'Gamma Film', 'Ibérica Filmes']",https://cineb.net/movie/watch-the-devils-pass-free-83521
Kandisha,5.4,"One summer evening, three childhood friends invoke the spirit of Kandisha, a vengeful creature from a Moroccan legend. The game quickly turns into a nightmare when their loved ones begin to disappear.",2022-03-24,Horror,"['Nassim Si Ahmed', 'Walid Afkir', 'Mathilde La Musse', 'Sandor Funtek', 'Bakary Diombera']",85,France,"['WY Productions', 'Esprits Frappeurs']",https://cineb.net/movie/watch-kandisha-free-83518
